Cue,Target,Frequency,Semantic,Rhyme,PronCue,NPhonCue,PronCue_processed,NSyllCue,cue_Length,cue_Freq_N,PhonTarget,NPhonTarget,PhonTarget_processed,NSyllTarget,Target_Length,Target_Freq_N,word_dist,pron_dist,category
hour,devour,1,0,1,aUr,2,aU,1,4,7.61,dI.vaUr,5,aU,2,6,6.3,3,4,0
chew,dew,4,0,1,tSu,2,u,1,4,6.23,du,2,u,1,3,8.4,2,2,2
crew,dew,2,0,1,kru,3,u,1,4,7.77,du,2,u,1,3,8.4,2,2,1
ewe,dew,2,0,1,ju,2,u,1,3,8.41,du,2,u,1,3,8.4,2,1,1
hue,dew,2,0,1,hju,3,u,1,3,8.02,du,2,u,1,3,8.4,3,2,1
shoe,dew,1,0,1,Su,2,u,1,4,7.15,du,2,u,1,3,8.4,4,1,0
view,dew,2,0,1,vju,3,u,1,4,5.07,du,2,u,1,3,8.4,2,2,1
style,dial,1,0,1,staIl,4,aI,1,5,6.1,daI@l,4,aI@,1,4,8.1,4,3,0
lice,dice,9,0,1,laIs,3,aI,1,4,9.68,daIs,3,aI,1,4,7.7,1,1,3
nice,dice,7,0,1,naIs,3,aI,1,4,8.1,daIs,3,aI,1,4,7.7,1,1,3
rice,dice,3,0,1,raIs,3,aI,1,4,8.29,daIs,3,aI,1,4,7.7,1,1,2
spice,dice,4,0,1,spaIs,4,aI,1,5,8.18,daIs,3,aI,1,4,7.7,2,2,2
vice,dice,4,0,1,vaIs,3,aI,1,4,7.99,daIs,3,aI,1,4,7.7,1,1,2
kid,did,1,0,1,kId,3,I,1,3,8.29,dId,3,I,1,3,8.3,1,1,0
buy,die,1,0,1,baI,2,a,1,3,9.73,daI,2,a,1,3,8.4,3,1,0
death,die,1,1,0,dET,3,E,1,5,8.66,daI,2,a,1,3,8.4,4,2,0
drown,die,1,1,0,draUn,4,aU,1,5,9.02,daI,2,a,1,3,8.4,4,3,0
fly,die,1,0,0,flaI,3,aI,1,3,6.9,daI,2,a,1,3,8.4,3,2,0
lie,die,4,0,1,laI,2,aI,1,3,8.18,daI,2,a,1,3,8.4,1,1,2
rye,die,3,0,1,raI,2,aI,1,3,6.88,daI,2,a,1,3,8.4,2,1,2
sky,die,1,0,1,skaI,3,aI,1,3,8.55,daI,2,a,1,3,8.4,3,2,0
sty,die,1,0,1,staI,3,aI,1,3,9.1,daI,2,a,1,3,8.4,3,2,0
try,die,2,0,1,traI,3,aI,1,3,8.07,daI,2,a,1,3,8.4,3,2,1
wine,die,1,0,0,waIn,3,aI,1,4,8.51,daI,2,a,1,3,8.4,2,2,0
guide,died,1,0,1,gaId,3,aI,1,5,6.78,daId,3,aI,1,4,6.5,4,1,0
slide,died,1,0,1,slaId,4,aI,1,5,6.62,daId,3,aI,1,4,6.5,4,2,0
guise,dies,1,0,1,gaIz,3,aI,1,5,6.66,daIz,3,aI,1,4,6.67,4,1,0
big,dig,5,0,1,bIg,3,I,1,3,8.5,dIg,3,I,1,3,8.3,1,1,3
fig,dig,4,0,1,fIg,3,I,1,3,7.74,dIg,3,I,1,3,8.3,1,1,2
pig,dig,10,0,1,pIg,3,I,1,3,7.86,dIg,3,I,1,3,8.3,1,1,3
press,digress,1,0,1,prEs,4,E,1,5,6.35,daI.grEs,6,E,2,7,5.5,3,5,0
hike,dike,1,0,1,haIk,3,aI,1,4,7.99,daIk,3,aI,1,4,8.4,1,1,0
pike,dike,3,0,1,paIk,3,aI,1,4,7.9,daIk,3,aI,1,4,8.4,1,1,2
chill,dill,3,0,1,tSIl,3,I,1,5,8.11,dIl,3,I,1,4,9.1,2,2,2
frill,dill,4,0,1,frIl,4,I,1,5,6.84,dIl,3,I,1,4,9.1,2,2,2
hill,dill,2,0,1,hIl,3,I,1,4,8.69,dIl,3,I,1,4,9.1,1,1,1
kill,dill,1,0,1,kIl,3,I,1,4,8.09,dIl,3,I,1,4,9.1,1,1,0
pill,dill,1,0,1,pIl,3,I,1,4,8.54,dIl,3,I,1,4,9.1,1,1,0
spill,dill,2,0,1,spIl,4,I,1,5,7.9,dIl,3,I,1,4,9.1,2,2,1
flute,dilute,1,0,1,flut,4,u,1,5,5.7,daI.lut,5,u,2,6,4.7,2,4,0
dime,dim,1,0,0,daIm,3,aI,1,4,8.01,dIm,3,I,1,3,9.1,1,1,0
dorm,dim,1,0,0,dOrm,4,O,1,4,7.36,dIm,3,I,1,3,9.1,2,2,0
film,dim,1,0,0,fIlm,4,I,1,4,11.09,dIm,3,I,1,3,9.1,2,2,0
him,dim,5,0,1,hIm,3,I,1,3,8.37,dIm,3,I,1,3,9.1,1,1,3
pin,dim,1,0,0,pIn,3,I,1,3,8.6,dIm,3,I,1,3,9.1,2,2,0
rim,dim,13,0,1,rIm,3,I,1,3,9.13,dIm,3,I,1,3,9.1,1,1,3
sum,dim,1,0,0,sVm,3,?,1,3,7.79,dIm,3,I,1,3,9.1,2,2,0
trim,dim,2,0,1,trIm,4,I,1,4,6.54,dIm,3,I,1,3,9.1,2,2,1
climb,dime,2,0,1,klaIm,4,aI,1,5,4.06,daIm,3,aI,1,4,8,3,2,1
dim,dime,1,0,0,dIm,3,I,1,3,9.1,daIm,3,aI,1,4,8,1,1,0
grime,dime,4,0,1,graIm,4,aI,1,5,7.77,daIm,3,aI,1,4,8,2,2,2
mine,dime,1,0,0,maIn,3,aI,1,4,7.93,daIm,3,aI,1,4,8,2,2,0
rhyme,dime,8,0,1,raIm,3,aI,1,5,5.92,daIm,3,aI,1,4,8,3,1,3
slime,dime,2,0,1,slaIm,4,aI,1,5,6.68,daIm,3,aI,1,4,8,2,2,1
time,dime,5,0,1,taIm,3,aI,1,4,7.28,daIm,3,aI,1,4,8,1,1,3
fin,din,5,0,1,fIn,3,I,1,3,8.62,dIn,3,I,1,3,9,1,1,3
in,din,3,0,1,In,2,I,1,2,11.79,dIn,3,I,1,3,9,1,1,2
pin,din,2,0,1,pIn,3,I,1,3,8.6,dIn,3,I,1,3,9,1,1,1
skin,din,1,0,1,skIn,4,I,1,4,7.68,dIn,3,I,1,3,9,2,2,0
thin,din,1,0,1,TIn,3,I,1,4,10.11,dIn,3,I,1,3,9,2,1,0
win,din,2,0,1,wIn,3,I,1,3,8.23,dIn,3,I,1,3,9,1,1,1
dense,dine,1,0,0,dEns,4,E,1,5,7.13,daIn,3,aI,1,4,7.8,2,3,0
dime,dine,1,0,0,daIm,3,aI,1,4,8.01,daIn,3,aI,1,4,7.8,1,1,0
done,dine,1,0,0,dVn,3,?,1,4,7.5,daIn,3,aI,1,4,7.8,1,2,0
line,dine,2,0,1,laIn,3,aI,1,4,8.22,daIn,3,aI,1,4,7.8,1,1,1
nine,dine,3,0,1,naIn,3,aI,1,4,8.23,daIn,3,aI,1,4,7.8,1,1,2
shine,dine,2,0,1,SaIn,3,aI,1,5,6.64,daIn,3,aI,1,4,7.8,2,1,1
sign,dine,2,0,1,saIn,3,aI,1,4,9.05,daIn,3,aI,1,4,7.8,3,1,1
mind,dined,1,0,1,maInd,4,aI,1,4,8.68,daInd,4,aI,1,5,5.6,2,1,0
blinds,dines,1,0,0,blaIndz,6,aI,1,6,5.88,daInz,4,aI,1,5,5.8,3,3,0
hind,dinner,1,0,0,haInd,4,aI,1,4,8.8,dI.n@`,4,I.,2,6,4.8,4,5,0
deep,dip,1,0,0,dip,3,i,1,4,7.7,dIp,3,I,1,3,8.2,2,1,0
drip,dip,2,0,1,drIp,4,I,1,4,8.52,dIp,3,I,1,3,8.2,1,1,1
grip,dip,1,0,1,grIp,4,I,1,4,7.33,dIp,3,I,1,3,8.2,2,2,0
lip,dip,8,0,1,lIp,3,I,1,3,7.98,dIp,3,I,1,3,8.2,1,1,3
ship,dip,5,0,1,SIp,3,I,1,4,8.38,dIp,3,I,1,3,8.2,2,1,3
skip,dip,6,0,1,skIp,4,I,1,4,7.78,dIp,3,I,1,3,8.2,2,2,3
strip,dip,4,0,1,strIp,5,I,1,5,4.28,dIp,3,I,1,3,8.2,3,3,2
trip,dip,3,0,1,trIp,4,I,1,4,7.15,dIp,3,I,1,3,8.2,2,2,2
choir,dire,1,0,1,kwaIr,4,aI,1,5,9.83,daIr,3,aI,1,4,7.8,4,2,0
fire,dire,5,0,1,faIr,3,aI,1,4,8.12,daIr,3,aI,1,4,7.8,1,1,3
wire,dire,2,0,1,waIr,3,aI,1,4,8.43,daIr,3,aI,1,4,7.8,1,1,1
hurt,dirt,6,0,1,h3`t,3,3`,1,4,8.15,d3`t,3,3`,1,4,7,2,1,3
shirt,dirt,1,0,1,S3`t,3,3`,1,5,6.51,d3`t,3,3`,1,4,7,2,1,0
worm,dirt,1,1,0,w3`m,3,3`,1,4,9.07,d3`t,3,3`,1,4,7,3,2,0
shirt,dirty,1,1,0,S3`t,3,3`,1,5,6.51,d3`4.i,4,3`,2,5,5.7,3,4,0
wish,dish,12,0,1,wIS,3,I,1,4,9.09,dIS,3,I,1,4,8.5,1,1,3
risk,disk,1,0,1,rIsk,4,I,1,4,7.84,dIsk,4,I,1,4,8.2,1,1,0
hitch,ditch,7,0,1,hItS,3,I,1,5,7.37,dItS,3,I,1,5,7.7,1,1,3
niche,ditch,1,0,1,nItS,3,I,1,5,4.8,dItS,3,I,1,5,7.7,3,1,0
rich,ditch,3,0,1,rItS,3,I,1,4,8.01,dItS,3,I,1,5,7.7,2,1,2
witch,ditch,3,0,1,wItS,3,I,1,5,7.56,dItS,3,I,1,5,7.7,1,1,2
die,dive,1,0,0,daI,2,aI,1,3,8.36,daIv,3,aI,1,4,8.2,1,1,0
drive,dive,8,0,1,draIv,4,aI,1,5,8.81,daIv,3,aI,1,4,8.2,1,1,3
give,dive,1,0,0,gIv,3,I,1,4,7.51,daIv,3,aI,1,4,8.2,1,2,0
live,dive,8,0,1,lIv,3,I,1,4,8.63,daIv,3,aI,1,4,8.2,1,2,3
quiz,dizzy,1,0,0,kwIz,4,I,1,4,7.25,dI.zi,4,I.,2,5,4.7,4,4,0
dew,do,4,0,0,du,2,u,1,3,8.4,du,2,u,1,2,10.7,2,0,2
douche,do,2,0,0,duS,3,u,1,6,6.13,du,2,u,1,2,10.7,4,1,1
dove,do,1,0,0,dVv,3,?,1,4,7.77,du,2,u,1,2,10.7,2,2,0
due,do,2,0,0,du,2,u,1,3,8.32,du,2,u,1,2,10.7,2,0,1
new,do,1,0,1,nu,2,u,1,3,7.84,du,2,u,1,2,10.7,3,1,0
two,do,1,0,1,tu,2,u,1,3,9.94,du,2,u,1,2,10.7,2,1,0
dock,doc,1,0,1,dAk,3,A,1,4,8.11,dAk,3,A,1,3,9.1,1,0,0
clock,dock,5,0,1,klAk,4,A,1,5,7.35,dAk,3,A,1,4,8.1,2,2,3
knock,dock,6,0,1,nAk,3,A,1,5,6.45,dAk,3,A,1,4,8.1,2,1,3
rock,dock,1,0,1,rAk,3,A,1,4,7.14,dAk,3,A,1,4,8.1,1,1,0
sock,dock,4,0,1,sAk,3,A,1,4,8.01,dAk,3,A,1,4,8.1,1,1,2
fox,docks,1,0,1,fAks,4,A,1,3,8.31,dAks,4,A,1,5,6.7,4,1,0
lodge,dodge,16,0,1,lAdZ,3,A,1,5,8.08,dAdZ,3,A,1,5,7.3,1,1,3
dough,doe,1,0,1,do,2,o,1,5,5.45,do,2,o,1,3,8.4,3,0,0
foe,doe,6,0,1,fo,2,o,1,3,7.78,do,2,o,1,3,8.4,1,1,3
hoe,doe,5,0,1,ho,2,o,1,3,7.64,do,2,o,1,3,8.4,1,1,3
pro,doe,1,0,1,pro,3,?,1,3,6.63,do,2,o,1,3,8.4,3,2,0
show,doe,1,0,1,So,2,o,1,4,7.29,do,2,o,1,3,8.4,3,1,0
toe,doe,2,0,1,to,2,o,1,3,8.76,do,2,o,1,3,8.4,1,1,1
cause,does,1,0,0,kOz,3,O,1,5,6.52,dVz,3,?,1,4,6.8,4,2,0
fuzz,does,1,0,0,fVz,3,?,1,4,6.61,dVz,3,?,1,4,6.8,4,1,0
pause,does,1,0,0,pOz,3,O,1,5,8.59,dVz,3,?,1,4,6.8,4,2,0
bog,dog,3,0,1,bAg,3,A,1,3,8.35,dOg,3,O,1,3,8.1,1,2,2
dot,dog,1,0,0,dAt,3,A,1,3,9.29,dOg,3,O,1,3,8.1,1,2,0
frog,dog,4,0,1,frAg,4,A,1,4,8.55,dOg,3,O,1,3,8.1,2,3,2
hog,dog,3,0,1,hOg,3,O,1,3,7.95,dOg,3,O,1,3,8.1,1,1,2
log,dog,3,0,1,lOg,3,O,1,3,7.88,dOg,3,O,1,3,8.1,1,1,2
bowl,dole,1,0,1,bol,3,o,1,4,5.51,dol,3,o,1,4,7.7,3,1,0
doll,dole,2,0,0,dAl,3,A,1,4,7.13,dol,3,o,1,4,7.7,1,1,1
hole,dole,2,0,1,hol,3,o,1,4,8.13,dol,3,o,1,4,7.7,1,1,1
pole,dole,3,0,1,pol,3,o,1,4,7.53,dol,3,o,1,4,7.7,1,1,2
sole,dole,5,0,1,sol,3,o,1,4,8.47,dol,3,o,1,4,7.7,1,1,3
fall,doll,1,0,1,fOl,3,O,1,4,9.46,dAl,3,A,1,4,7.1,2,2,0
mall,doll,1,0,1,mOl,3,O,1,4,8.36,dAl,3,A,1,4,7.1,2,2,0
toll,doll,2,0,0,tol,3,o,1,4,7.96,dAl,3,A,1,4,7.1,1,2,1
whole,doll,1,0,0,hol,3,o,1,5,7.41,dAl,3,A,1,4,7.1,3,2,0
bolt,dolt,1,0,1,bolt,4,o,1,4,7.73,dolt,4,o,1,4,7.9,1,1,0
volt,dolt,1,0,1,volt,4,o,1,4,6.7,dolt,4,o,1,4,7.9,1,1,0
come,dome,2,0,0,kVm,3,?,1,4,8.87,dom,3,o,1,4,8.8,1,2,1
done,dome,1,0,0,dVn,3,?,1,4,7.5,dom,3,o,1,4,8.8,1,2,0
foam,dome,4,0,1,fom,3,o,1,4,7.19,dom,3,o,1,4,8.8,3,1,2
roam,dome,1,0,1,rom,3,o,1,4,7.63,dom,3,o,1,4,8.8,3,1,0
con,don,7,0,1,kAn,3,A,1,3,8.67,dAn,3,A,1,3,9.2,1,1,3
on,don,4,0,1,An,2,A,1,2,10.63,dAn,3,A,1,3,9.2,1,1,2
ton,don,2,0,0,tVn,3,?,1,3,9.3,dAn,3,A,1,3,9.2,1,2,1
come,done,2,0,0,kVm,3,?,1,4,8.87,dVn,3,?,1,4,7.5,2,2,1
do,done,1,1,0,du,2,u,1,2,10.71,dVn,3,?,1,4,7.5,2,2,0
dunce,done,2,0,0,dVns,4,?,1,5,7.92,dVn,3,?,1,4,7.5,2,1,1
fun,done,4,0,1,fVn,3,?,1,3,7.72,dVn,3,?,1,4,7.5,3,1,2
gone,done,6,0,0,gOn,3,O,1,4,8.5,dVn,3,?,1,4,7.5,1,2,3
none,done,10,0,1,nVn,3,?,1,4,8.91,dVn,3,?,1,4,7.5,1,1,3
phone,done,3,0,0,fon,3,o,1,5,7.19,dVn,3,?,1,4,7.5,2,2,2
son,done,5,0,1,sVn,3,?,1,3,8.41,dVn,3,?,1,4,7.5,2,1,3
ton,done,1,0,1,tVn,3,?,1,3,9.3,dVn,3,?,1,4,7.5,2,1,0
swamp,donkey,1,0,0,swAmp,5,A,1,5,6.87,dAN.ki,5,A,2,6,8.5,6,6,0
bloom,doom,6,0,1,blum,4,u,1,5,8.44,dum,3,u,1,4,8.8,2,2,3
broom,doom,2,0,1,brum,4,u,1,5,7.54,dum,3,u,1,4,8.8,2,2,1
dawn,doom,1,0,0,dOn,3,O,1,4,8.03,dum,3,u,1,4,8.8,3,2,0
gloom,doom,11,0,1,glum,4,u,1,5,7.83,dum,3,u,1,4,8.8,2,2,3
room,doom,8,0,1,rum,3,u,1,4,7.67,dum,3,u,1,4,8.8,1,1,3
tune,doom,1,0,0,tun,3,u,1,4,7.54,dum,3,u,1,4,8.8,4,2,0
womb,doom,1,0,1,wum,3,u,1,4,8.59,dum,3,u,1,4,8.8,3,1,0
car,door,1,0,0,kAr,3,A,1,3,8.84,dOr,3,O,1,4,5.5,3,2,0
doe,door,1,0,0,do,2,o,1,3,8.45,dOr,3,O,1,4,5.5,2,2,0
dough,door,1,0,0,do,2,o,1,5,5.45,dOr,3,O,1,4,5.5,3,2,0
four,door,5,0,1,fOr,3,O,1,4,8.21,dOr,3,O,1,4,5.5,2,1,3
oar,door,2,0,1,Or,2,O,1,3,9.04,dOr,3,O,1,4,5.5,2,1,1
poor,door,2,0,1,pUr,3,U,1,4,7.76,dOr,3,O,1,4,5.5,1,2,1
roar,door,1,0,1,rOr,3,O,1,4,7.38,dOr,3,O,1,4,5.5,2,1,0
tour,door,1,0,0,tUr,3,U,1,4,8.3,dOr,3,O,1,4,5.5,2,2,0
whore,door,3,0,1,hOr,3,O,1,5,8.97,dOr,3,O,1,4,5.5,3,1,2
hope,dope,12,0,1,hop,3,o,1,4,7.5,dop,3,o,1,4,7.6,1,1,3
rope,dope,15,0,1,rop,3,o,1,4,7.35,dop,3,o,1,4,7.6,1,1,3
soap,dope,4,0,1,sop,3,o,1,4,8.29,dop,3,o,1,4,7.6,3,1,2
norm,dorm,4,0,1,nOrm,4,O,1,4,6.95,dOrm,4,O,1,4,7.4,1,1,2
warm,dorm,3,0,1,wOrm,4,O,1,4,8.05,dOrm,4,O,1,4,7.4,2,1,2
close,dose,2,0,1,kloz,4,o,1,5,8.94,dos,3,o,1,4,7.9,2,3,1
gross,dose,2,0,0,gros,4,o,1,5,6.81,dos,3,o,1,4,7.9,3,2,1
rose,dose,1,0,0,roz,3,o,1,4,7.79,dos,3,o,1,4,7.9,1,2,0
dolt,dot,1,0,0,dolt,4,o,1,4,7.85,dAt,3,A,1,3,9.3,1,2,0
lot,dot,1,0,1,lAt,3,A,1,3,8.61,dAt,3,A,1,3,9.3,1,1,0
pot,dot,1,0,1,pAt,3,A,1,3,8.89,dAt,3,A,1,3,9.3,1,1,0
shot,dot,1,0,1,SAt,3,A,1,4,7.71,dAt,3,A,1,3,9.3,2,1,0
squat,dot,2,0,1,skwAt,5,A,1,5,5.77,dAt,3,A,1,3,9.3,4,3,1
yacht,dot,1,0,0,jAt,3,A,1,5,5.02,dAt,3,A,1,3,9.3,4,1,0
gauche,douche,1,0,0,goS,3,o,1,6,4.45,duS,3,u,1,6,6.1,2,2,0
bough,dough,1,0,1,baU,2,?,1,5,5.72,do,2,o,1,5,5.4,1,3,0
crow,dough,1,0,1,kro,3,?,1,4,7.87,do,2,o,1,5,5.4,5,2,0
drought,dough,1,0,0,draUt,4,aU,1,7,7.56,do,2,o,1,5,5.4,2,4,0
pour,dour,1,0,1,pOr,3,O,1,4,7.86,daUr,3,aU,1,4,8.6,1,3,0
south,douse,1,0,0,saUT,3,aU,1,5,6.45,daUs,3,aU,1,5,6.1,3,2,0
clove,dove,4,0,1,klov,4,o,1,5,8.7,dVv,3,?,1,4,7.8,2,3,2
glove,dove,4,0,1,glVv,4,?,1,5,7.7,dVv,3,?,1,4,7.8,2,2,2
love,dove,26,0,1,lVv,3,?,1,4,7.08,dVv,3,?,1,4,7.8,1,1,3
move,dove,2,0,0,muv,3,u,1,4,7,dVv,3,?,1,4,7.8,1,2,1
prove,dove,1,0,0,pruv,4,u,1,5,6.46,dVv,3,?,1,4,7.8,2,3,0
stove,dove,5,0,1,stov,4,o,1,5,8.29,dVv,3,?,1,4,7.8,2,3,3
foul,dowel,1,0,1,faUl,3,aU,1,4,8.58,daU@l,4,aU@,1,5,5.3,3,2,0
clown,down,6,0,1,klaUn,4,aU,1,5,8.5,daUn,3,aU,1,4,6.5,2,2,3
crown,down,3,0,1,kraUn,4,aU,1,5,7.8,daUn,3,aU,1,4,6.5,2,2,2
doe,down,1,0,0,do,2,o,1,3,8.45,daUn,3,aU,1,4,6.5,2,3,0
dwarf,down,1,0,0,dwOrf,5,O,1,5,0,daUn,3,aU,1,4,6.5,4,4,0
gown,down,2,0,1,gaUn,3,aU,1,4,7.09,daUn,3,aU,1,4,6.5,1,1,1
noun,down,3,0,1,naUn,3,aU,1,4,6.02,daUn,3,aU,1,4,6.5,2,1,2
pound,downed,1,0,1,paUnd,4,aU,1,5,9.71,daUnd,4,aU,1,6,4.3,3,1,0
prose,doze,1,0,1,proz,4,o,1,5,6.42,doz,3,o,1,4,7.5,3,2,0
doze,dozen,2,0,0,doz,3,o,1,4,7.46,dV.zn=,4,?,2,5,3.2,1,4,1
cab,drab,6,0,1,kab,3,a,1,3,8.3,drab,4,a,1,4,7,2,2,3
drip,drab,1,0,0,drIp,4,I,1,4,8.52,drab,4,a,1,4,7,2,2,0
lab,drab,2,0,1,lab,3,a,1,3,7.7,drab,4,a,1,4,7,2,2,1
stab,drab,4,0,1,stab,4,a,1,4,7.81,drab,4,a,1,4,7,2,2,2
draught,draft,3,0,0,draft,5,a,1,7,6.51,draft,5,a,1,5,7.5,3,0,2
drought,draft,1,0,0,draUt,4,aU,1,7,7.56,draft,5,a,1,5,7.5,4,1,0
laugh,draft,1,0,0,laf,3,a,1,5,3.54,draft,5,a,1,5,7.5,5,3,0
raft,draft,9,0,1,raft,4,a,1,4,5.35,draft,5,a,1,5,7.5,1,1,3
bag,drag,1,0,1,bag,3,a,1,3,8.39,drag,4,a,1,4,7,2,2,0
drug,drag,1,0,0,drVg,4,?,1,4,6.39,drag,4,a,1,4,7,1,1,0
nag,drag,3,0,1,nag,3,a,1,3,7.56,drag,4,a,1,4,7,2,2,2
tag,drag,1,0,1,tag,3,a,1,3,7.79,drag,4,a,1,4,7,2,2,0
brain,drain,4,0,1,bren,4,e,1,5,7.57,dren,4,e,1,5,7.8,1,1,2
cane,drain,1,0,1,ken,3,e,1,4,8.33,dren,4,e,1,5,7.8,4,2,0
main,drain,1,0,1,men,3,e,1,4,8.11,dren,4,e,1,5,7.8,2,2,0
pane,drain,1,0,1,pen,3,e,1,4,7.25,dren,4,e,1,5,7.8,4,2,0
sprain,drain,7,0,1,spren,5,e,1,6,9.18,dren,4,e,1,5,7.8,2,2,3
strain,drain,2,0,1,stren,5,e,1,6,6.04,dren,4,e,1,5,7.8,2,2,1
ache,drake,1,0,1,ek,2,e,1,4,6.82,drek,4,e,1,5,5.8,4,2,0
cake,drake,1,0,1,kek,3,e,1,4,9.36,drek,4,e,1,5,5.8,2,2,0
bank,drank,2,0,1,baNk,4,a,1,4,7.49,draNk,5,a,1,5,7.7,2,2,1
drink,drank,1,1,0,drINk,5,I,1,5,5.11,draNk,5,a,1,5,7.7,1,1,0
plank,drank,1,0,1,plaNk,5,a,1,5,7.77,draNk,5,a,1,5,7.7,2,2,0
rank,drank,1,0,1,raNk,4,a,1,4,7.52,draNk,5,a,1,5,7.7,1,1,0
swank,drank,1,0,1,swaNk,5,a,1,5,6.13,draNk,5,a,1,5,7.7,2,2,0
ape,drape,1,0,1,ep,2,e,1,3,8.72,drep,4,e,1,5,5,2,2,0
grape,drape,3,0,1,grep,4,e,1,5,6.89,drep,4,e,1,5,5,1,1,2
shape,drape,1,0,1,Sep,3,e,1,5,8.34,drep,4,e,1,5,5,2,2,0
brat,drat,1,0,1,brat,4,a,1,4,7.13,drat,4,a,1,4,7.1,1,1,0
mat,drat,1,0,1,mat,3,a,1,3,8.87,drat,4,a,1,4,7.1,2,2,0
drought,draught,1,0,0,draUt,4,aU,1,7,7.56,draft,5,a,1,7,6.5,1,1,0
bra,draw,4,0,1,brA,3,?,1,3,6.93,drO,3,O,1,4,7,2,2,2
dawn,draw,2,0,0,dOn,3,O,1,4,8.03,drO,3,O,1,4,7,2,2,1
draft,draw,1,1,0,draft,5,a,1,5,7.54,drO,3,O,1,4,7,2,3,0
drawer,draw,12,1,0,drOr,4,O,1,6,6.97,drO,3,O,1,4,7,2,1,3
drought,draw,1,0,0,draUt,4,aU,1,7,7.56,drO,3,O,1,4,7,5,3,0
law,draw,2,0,1,lO,2,O,1,3,7.82,drO,3,O,1,4,7,2,2,1
straw,draw,1,0,1,strO,4,O,1,5,4.86,drO,3,O,1,4,7,2,2,0
choir,drawer,1,0,0,kwaIr,4,aI,1,5,9.83,drOr,4,O,1,6,7,5,4,0
crawl,drawl,4,0,1,krOl,4,O,1,5,5.3,drOl,4,O,1,5,7.4,1,1,2
dawn,drawn,1,0,1,dOn,3,O,1,4,8.03,drOn,4,O,1,5,6.6,1,1,0
pawn,drawn,1,0,1,pOn,3,O,1,4,6.94,drOn,4,O,1,5,6.6,2,2,0
gauze,draws,1,0,1,gOz,3,O,1,5,5.97,drOz,4,O,1,5,5.1,5,2,0
bread,dread,1,0,1,brEd,4,E,1,5,8.43,drEd,4,E,1,5,7.1,1,1,0
head,dread,1,0,1,hEd,3,E,1,4,9.48,drEd,4,E,1,5,7.1,2,2,0
said,dread,1,0,1,sEd,3,E,1,4,8.21,drEd,4,E,1,5,7.1,4,2,0
thread,dread,1,0,1,TrEd,4,E,1,6,9.83,drEd,4,E,1,5,7.1,2,1,0
bean,dream,1,0,0,bin,3,i,1,4,8.62,drim,4,i,1,5,6.1,3,3,0
dare,dream,1,1,0,dEr,3,E,1,4,7.85,drim,4,i,1,5,6.1,3,3,0
green,dream,1,0,0,grin,4,i,1,5,7.33,drim,4,i,1,5,6.1,3,2,0
scheme,dream,6,0,1,skim,4,i,1,6,6.58,drim,4,i,1,5,6.1,5,2,3
seam,dream,2,0,1,sim,3,i,1,4,8.58,drim,4,i,1,5,6.1,2,2,1
steam,dream,3,0,1,stim,4,i,1,5,6.31,drim,4,i,1,5,6.1,2,2,2
team,dream,3,1,1,tim,3,i,1,4,6.86,drim,4,i,1,5,6.1,2,2,2
jeans,dreams,2,0,0,dZinz,4,i,1,5,7.2,drimz,5,i,1,6,5.1,3,2,1
edge,dredge,2,0,1,EdZ,2,E,1,4,5.36,drEdZ,4,E,1,6,7.7,2,2,1
web,dredge,1,0,0,wEb,3,E,1,3,8.1,drEdZ,4,E,1,6,7.7,5,4,0
clench,drench,3,0,1,klEntS,5,E,1,6,4.19,drEntS,5,E,1,6,8.4,2,2,2
quench,drench,3,0,1,kwEntS,5,E,1,6,1.95,drEntS,5,E,1,6,8.4,2,2,2
wrench,drench,2,0,1,rEntS,4,E,1,6,6.81,drEntS,5,E,1,6,8.4,1,1,1
chess,dress,3,0,1,tSEs,3,E,1,5,7.12,drEs,4,E,1,5,6.9,2,2,2
less,dress,3,0,1,lEs,3,E,1,4,6.96,drEs,4,E,1,5,6.9,2,2,2
press,dress,11,0,1,prEs,4,E,1,5,6.35,drEs,4,E,1,5,6.9,1,1,3
yes,dress,7,0,1,jEs,3,E,1,3,8.37,drEs,4,E,1,5,6.9,3,2,3
crest,dressed,1,0,1,krEst,5,E,1,5,7.01,drEst,5,E,1,7,7.9,4,1,0
blue,drew,1,0,1,blu,3,u,1,4,6.29,dru,3,u,1,4,8.5,4,2,0
crew,drew,4,0,1,kru,3,u,1,4,7.77,dru,3,u,1,4,8.5,1,1,2
dew,drew,2,0,1,du,2,u,1,3,8.4,dru,3,u,1,4,8.5,1,1,1
due,drew,1,0,1,du,2,u,1,3,8.32,dru,3,u,1,4,8.5,2,1,0
bride,dried,1,0,1,braId,4,aI,1,5,7.54,draId,4,aI,1,5,7.6,3,1,0
draft,drift,2,0,0,draft,5,a,1,5,7.54,drIft,5,I,1,5,9.6,1,1,1
shift,drift,4,0,1,SIft,4,I,1,5,8.69,drIft,5,I,1,5,9.6,2,2,2
thrift,drift,5,0,1,TrIft,5,I,1,6,4.93,drIft,5,I,1,5,9.6,2,1,3
chill,drill,2,0,1,tSIl,3,I,1,5,8.11,drIl,4,I,1,5,5.2,2,2,1
dull,drill,1,0,0,dVl,3,?,1,4,8,drIl,4,I,1,5,5.2,2,2,0
frill,drill,5,0,1,frIl,4,I,1,5,6.84,drIl,4,I,1,5,5.2,1,1,3
