Cue,Target,Frequency,Semantic,Rhyme,PronCue,NPhonCue,PronCue_processed ,NSyllCue,cue_Length,cue_Freq_N,PhonTarget,NPhonTarget,PhonTarget_processed,NSyllTarget,Target_Length,Target_Freq_N
braze,days,1,0,1,brez,4,e,1,5,7.52,dez,3,e,1,4,7
gaze,days,1,0,1,gez,3,e,1,4,7.18,dez,3,e,1,4,7
glaze,days,1,0,1,glez,4,e,1,5,6.15,dez,3,e,1,4,7
graze,days,2,0,1,grez,4,e,1,5,7.34,dez,3,e,1,4,7
haze,days,2,0,1,hez,3,e,1,4,7.22,dez,3,e,1,4,7
maize,days,1,0,1,mez,3,e,1,5,5.21,dez,3,e,1,4,7
maze,days,1,0,1,mez,3,e,1,4,7.28,dez,3,e,1,4,7
phrase,days,2,0,1,frez,4,e,1,6,?,dez,3,e,1,4,7
praise,days,1,0,1,prez,4,e,1,6,2.94,dez,3,e,1,4,7
raise,days,3,0,1,rez,3,e,1,5,5.47,dez,3,e,1,4,7
rays,days,8,0,1,rez,3,e,1,4,7.48,dez,3,e,1,4,7
vase,days,1,0,0,ves,3,e,1,4,7.99,dez,3,e,1,4,7
base,daze,1,0,0,bes,3,e,1,4,7.55,dez,3,e,1,4,7.2
day,daze,1,0,0,de,2,e,1,3,9.23,dez,3,e,1,4,7.2
days,daze,2,0,1,dez,3,e,1,4,7.02,dez,3,e,1,4,7.2
gaze,daze,1,0,1,gez,3,e,1,4,7.18,dez,3,e,1,4,7.2
glaze,daze,1,0,1,glez,4,e,1,5,6.15,dez,3,e,1,4,7.2
haze,daze,8,0,1,hez,3,e,1,4,7.22,dez,3,e,1,4,7.2
maize,daze,2,0,1,mez,3,e,1,5,5.21,dez,3,e,1,4,7.2
maze,daze,5,0,1,mez,3,e,1,4,7.28,dez,3,e,1,4,7.2
phrase,daze,3,0,1,frez,4,e,1,6,?,dez,3,e,1,4,7.2
praise,daze,1,0,1,prez,4,e,1,6,2.94,dez,3,e,1,4,7.2
raise,daze,1,0,1,rez,3,e,1,5,5.47,dez,3,e,1,4,7.2
vase,daze,1,0,0,ves,3,e,1,4,7.99,dez,3,e,1,4,7.2
jazz,dazzle,2,0,0,dZaz,3,a,1,4,?,da.zl=,4,a.,2,6,4.4
bread,dead,1,0,1,brEd,4,E,1,5,8.43,dEd,3,E,1,4,9.7
death,dead,2,1,0,dET,3,E,1,5,8.66,dEd,3,E,1,4,9.7
head,dead,4,0,1,hEd,3,E,1,4,9.48,dEd,3,E,1,4,9.7
hedge,dead,1,0,0,hEdZ,3,E,1,5,7.62,dEd,3,E,1,4,9.7
lead,dead,2,0,1,lid,3,i,1,4,8.49,dEd,3,E,1,4,9.7
red,dead,4,0,1,rEd,3,E,1,3,8.64,dEd,3,E,1,4,9.7
said,dead,3,0,1,sEd,3,E,1,4,8.21,dEd,3,E,1,4,9.7
seed,dead,1,0,0,sid,3,i,1,4,8.35,dEd,3,E,1,4,9.7
shed,dead,2,0,1,SEd,3,E,1,4,6.66,dEd,3,E,1,4,9.7
spread,dead,4,0,1,sprEd,5,E,1,6,?,dEd,3,E,1,4,9.7
thread,dead,2,0,1,TrEd,4,E,1,6,9.83,dEd,3,E,1,4,9.7
tread,dead,1,0,1,trEd,4,E,1,5,8,dEd,3,E,1,4,9.7
wed,dead,1,0,1,wEd,3,E,1,3,8.58,dEd,3,E,1,4,9.7
breadth,deaf,1,0,0,brEtT,5,E,1,7,?,dEf,3,E,1,4,9.1
chef,deaf,7,0,1,SEf,3,E,1,4,6.75,dEf,3,E,1,4,9.1
clef,deaf,6,0,1,klEf,4,E,1,4,5.51,dEf,3,E,1,4,9.1
leaf,deaf,1,0,0,lif,3,i,1,4,7.63,dEf,3,E,1,4,9.1
dull,deal,1,0,0,dVl,3,?,1,4,8,dil,3,i,1,4,8.2
feel,deal,1,0,1,fil,3,i,1,4,8.94,dil,3,i,1,4,8.2
heal,deal,3,0,1,hil,3,i,1,4,8.47,dil,3,i,1,4,8.2
heel,deal,2,0,1,hil,3,i,1,4,8.67,dil,3,i,1,4,8.2
kneel,deal,1,0,1,nil,3,i,1,5,6.38,dil,3,i,1,4,8.2
meal,deal,8,0,1,mil,3,i,1,4,7.97,dil,3,i,1,4,8.2
peel,deal,3,0,1,pil,3,i,1,4,7.31,dil,3,i,1,4,8.2
reel,deal,2,0,1,ril,3,i,1,4,8.36,dil,3,i,1,4,8.2
seal,deal,17,1,1,sil,3,i,1,4,7.85,dil,3,i,1,4,8.2
squeal,deal,4,0,1,skwil,5,i,1,6,6.25,dil,3,i,1,4,8.2
steal,deal,3,0,1,stil,4,i,1,5,8.05,dil,3,i,1,4,8.2
steel,deal,3,0,1,stil,4,i,1,5,7.8,dil,3,i,1,4,8.2
veal,deal,1,0,1,vil,3,i,1,4,7.58,dil,3,i,1,4,8.2
wheel,deal,3,0,1,hwil,4,i,1,5,?,dil,3,i,1,4,8.2
death,dealt,1,0,0,dET,3,E,1,5,8.66,dElt,4,E,1,5,9.6
dolt,dealt,1,0,0,dolt,4,o,1,4,7.85,dElt,4,E,1,5,9.6
felt,dealt,3,0,1,fElt,4,E,1,4,7.8,dElt,4,E,1,5,9.6
wealth,dealt,1,0,0,wElT,4,E,1,6,11.02,dElt,4,E,1,5,9.6
clean,dean,1,0,1,klin,4,i,1,5,7.61,din,3,i,1,4,9.2
deaf,dean,2,0,0,dEf,3,E,1,4,9.14,din,3,i,1,4,9.2
lean,dean,3,0,1,lin,3,i,1,4,8.38,din,3,i,1,4,9.2
queen,dean,1,0,1,kwin,4,i,1,5,2.97,din,3,i,1,4,9.2
screen,dean,1,0,1,skrin,5,i,1,6,3.42,din,3,i,1,4,9.2
jeans,deans,1,0,1,dZinz,4,i,1,5,7.2,dinz,4,i,1,5,7.4
beer,dear,1,0,1,bIr,3,I,1,4,7.39,dIr,3,I,1,4,9.1
cheer,dear,2,0,1,tSIr,3,I,1,5,7.77,dIr,3,I,1,4,9.1
clear,dear,2,0,1,klIr,4,I,1,5,8.19,dIr,3,I,1,4,9.1
dare,dear,1,0,0,dEr,3,E,1,4,7.85,dIr,3,I,1,4,9.1
deaf,dear,1,0,0,dEf,3,E,1,4,9.14,dIr,3,I,1,4,9.1
dearth,dear,4,0,0,d3`T,3,3`,1,6,6.04,dIr,3,I,1,4,9.1
death,dear,1,0,0,dET,3,E,1,5,8.66,dIr,3,I,1,4,9.1
deer,dear,8,0,1,dIr,3,I,1,4,6.64,dIr,3,I,1,4,9.1
fear,dear,5,0,1,fIr,3,I,1,4,9.24,dIr,3,I,1,4,9.1
hear,dear,1,0,1,hIr,3,I,1,4,8.96,dIr,3,I,1,4,9.1
here,dear,2,0,1,hIr,3,I,1,4,7.96,dIr,3,I,1,4,9.1
near,dear,1,0,1,nIr,3,I,1,4,8.75,dIr,3,I,1,4,9.1
pear,dear,2,0,0,pEr,3,E,1,4,8.99,dIr,3,I,1,4,9.1
peer,dear,2,0,1,pIr,3,I,1,4,6.72,dIr,3,I,1,4,9.1
rear,dear,2,0,1,rIr,3,I,1,4,9.34,dIr,3,I,1,4,9.1
smear,dear,2,0,1,smIr,4,I,1,5,7.58,dIr,3,I,1,4,9.1
sphere,dear,1,0,1,sfIr,4,I,1,6,?,dIr,3,I,1,4,9.1
swear,dear,1,0,0,swEr,4,E,1,5,7.56,dIr,3,I,1,4,9.1
worse,dear,1,0,0,w3`s,3,3`,1,5,7.07,dIr,3,I,1,4,9.1
birth,dearth,1,0,1,b3`T,3,3`,1,5,6.18,d3`T,3,3`,1,6,6
deaf,dearth,1,0,0,dEf,3,E,1,4,9.14,d3`T,3,3`,1,6,6
dirt,dearth,1,0,0,d3`t,3,3`,1,4,7.01,d3`T,3,3`,1,6,6
earth,dearth,9,0,1,3`T,2,3`,1,5,7.05,d3`T,3,3`,1,6,6
hearth,dearth,3,0,1,hArT,4,A,1,6,8.1,d3`T,3,3`,1,6,6
thirst,dearth,1,0,0,T3`st,4,3`,1,6,?,d3`T,3,3`,1,6,6
worth,dearth,2,0,1,w3`T,3,3`,1,5,10.64,d3`T,3,3`,1,6,6
breadth,death,1,0,0,brEtT,5,E,1,7,?,dET,3,E,1,5,8.7
breath,death,4,0,1,brET,4,E,1,6,6.76,dET,3,E,1,5,8.7
breathe,death,1,0,0,briD,4,i,1,7,4.36,dET,3,E,1,5,8.7
dead,death,1,1,0,dEd,3,E,1,4,9.74,dET,3,E,1,5,8.7
deaf,death,2,0,0,dEf,3,E,1,4,9.14,dET,3,E,1,5,8.7
dearth,death,2,0,0,d3`T,3,3`,1,6,6.04,dET,3,E,1,5,8.7
depth,death,1,0,1,dEpT,4,E,1,5,11.26,dET,3,E,1,5,8.7
gang,death,1,0,0,gaN,3,a,1,4,8.01,dET,3,E,1,5,8.7
wreath,death,1,0,0,riT,3,i,1,6,9.58,dET,3,E,1,5,8.7
late,debate,1,0,1,let,3,e,1,4,7.14,dI.bet,5,e,2,6,4.5
bet,debt,2,0,1,bEt,3,E,1,3,10.03,dEt,3,E,1,4,7
deaf,debt,2,0,0,dEf,3,E,1,4,9.14,dEt,3,E,1,4,7
depth,debt,4,0,0,dEpT,4,E,1,5,11.26,dEt,3,E,1,4,7
doubt,debt,2,0,0,daUt,3,aU,1,5,?,dEt,3,E,1,4,7
threat,debt,1,0,1,TrEt,4,E,1,6,9.97,dEt,3,E,1,4,7
spray,decay,1,0,1,spre,4,?,1,5,4.76,dI.ke,4,e,2,5,7.1
least,deceased,1,0,0,list,4,i,1,5,7.55,dI.sist,6,i,2,8,3.4
check,deck,4,0,1,tSEk,3,E,1,5,7.97,dEk,3,E,1,4,8.7
neck,deck,7,0,1,nEk,3,E,1,4,8.83,dEk,3,E,1,4,8.7
wreck,deck,9,0,1,rEk,3,E,1,5,4.94,dEk,3,E,1,4,8.7
sex,decks,2,0,1,sEks,4,E,1,3,8.8,dEks,4,E,1,5,5.6
spree,decree,2,0,1,spri,4,?,1,5,4.23,dI.kri,5,i,2,6,10.6
bead,deed,1,0,1,bid,3,i,1,4,9.44,did,3,i,1,4,8.1
dead,deed,3,0,0,dEd,3,E,1,4,9.74,did,3,i,1,4,8.1
fee,deed,1,0,0,fi,2,i,1,3,8.18,did,3,i,1,4,8.1
feed,deed,2,0,1,fid,3,i,1,4,8.24,did,3,i,1,4,8.1
greed,deed,1,0,1,grid,4,i,1,5,8.17,did,3,i,1,4,8.1
heed,deed,1,0,1,hid,3,i,1,4,7.66,did,3,i,1,4,8.1
seed,deed,2,0,1,sid,3,i,1,4,8.35,did,3,i,1,4,8.1
speed,deed,3,0,1,spid,4,i,1,5,6.15,did,3,i,1,4,8.1
weed,deed,1,0,1,wid,3,i,1,4,7.6,did,3,i,1,4,8.1
beam,deem,2,0,1,bim,3,i,1,4,8.21,dim,3,i,1,4,8.3
cream,deem,2,0,1,krim,4,i,1,5,6.86,dim,3,i,1,4,8.3
dream,deem,1,0,1,drim,4,i,1,5,6.05,dim,3,i,1,4,8.3
scream,deem,2,0,1,skrim,5,i,1,6,9.36,dim,3,i,1,4,8.3
seam,deem,3,0,1,sim,3,i,1,4,8.58,dim,3,i,1,4,8.3
seem,deem,3,0,1,sim,3,i,1,4,7.79,dim,3,i,1,4,8.3
cheap,deep,1,0,1,tSip,3,i,1,5,7.64,dip,3,i,1,4,7.7
creep,deep,3,0,1,krip,4,i,1,5,6.92,dip,3,i,1,4,7.7
deaf,deep,1,0,0,dEf,3,E,1,4,9.14,dip,3,i,1,4,7.7
depth,deep,12,0,0,dEpT,4,E,1,5,11.26,dip,3,i,1,4,7.7
keep,deep,3,0,1,kip,3,i,1,4,7.44,dip,3,i,1,4,7.7
leap,deep,2,0,1,lip,3,i,1,4,7.02,dip,3,i,1,4,7.7
reap,deep,1,0,1,rip,3,i,1,4,8.42,dip,3,i,1,4,7.7
sheep,deep,1,0,1,Sip,3,i,1,5,8.26,dip,3,i,1,4,7.7
sleep,deep,9,0,1,slip,4,i,1,5,6.86,dip,3,i,1,4,7.7
steep,deep,5,0,1,stip,4,i,1,5,7.48,dip,3,i,1,4,7.7
sweep,deep,2,0,1,swip,4,i,1,5,9.2,dip,3,i,1,4,7.7
weep,deep,4,0,1,wip,3,i,1,4,8.24,dip,3,i,1,4,7.7
cheer,deer,2,0,1,tSIr,3,I,1,5,7.77,dIr,3,I,1,4,6.6
clear,deer,2,0,1,klIr,4,I,1,5,8.19,dIr,3,I,1,4,6.6
dear,deer,5,0,1,dIr,3,I,1,4,9.08,dIr,3,I,1,4,6.6
ear,deer,1,0,0,Ir,2,I,1,3,9.6,dIr,3,I,1,4,6.6
fear,deer,2,0,1,fIr,3,I,1,4,9.24,dIr,3,I,1,4,6.6
hear,deer,1,0,1,hIr,3,I,1,4,8.96,dIr,3,I,1,4,6.6
here,deer,1,0,1,hIr,3,I,1,4,7.96,dIr,3,I,1,4,6.6
lyre,deer,1,0,0,laIr,3,aI,1,4,6.35,dIr,3,I,1,4,6.6
near,deer,1,0,1,nIr,3,I,1,4,8.75,dIr,3,I,1,4,6.6
peer,deer,2,0,1,pIr,3,I,1,4,6.72,dIr,3,I,1,4,6.6
pier,deer,1,0,1,pIr,3,I,1,4,6.61,dIr,3,I,1,4,6.6
rear,deer,1,0,1,rIr,3,I,1,4,9.34,dIr,3,I,1,4,6.6
steer,deer,3,0,1,stIr,4,I,1,5,7.44,dIr,3,I,1,4,6.6
veer,deer,5,0,1,vIr,3,I,1,4,7.32,dIr,3,I,1,4,6.6
year,deer,1,0,1,jIr,3,I,1,4,9.05,dIr,3,I,1,4,6.6
fault,default,1,0,1,fOlt,4,O,1,5,7.98,dI.fOlt,6,O,2,7,?
meat,defeat,1,0,1,mit,3,i,1,4,8.74,dI.fit,5,i,2,6,7.9
herb,deferred,1,0,0,3`b,2,3`,1,4,8.1,dI.f3`d,5,3`,2,8,7.7
word,deferred,1,0,1,w3`d,3,3`,1,4,7.74,dI.f3`d,5,3`,2,8,7.7
deaf,definitely,1,0,0,dEf,3,E,1,4,9.14,dE.f@n.@t.li,9,E.,4,10,?
breath,deft,1,0,0,brET,4,E,1,6,6.76,dEft,4,E,1,4,7.4
cleft,deft,2,0,1,klEft,5,E,1,5,4.57,dEft,4,E,1,4,7.4
left,deft,4,0,1,lEft,4,E,1,4,5.78,dEft,4,E,1,4,7.4
theft,deft,4,0,1,TEft,4,E,1,5,?,dEft,4,E,1,4,7.4
spade,degrade,1,0,1,sped,4,e,1,5,7.35,dI.gred,6,e,2,7,?
day,delay,1,0,1,de,2,e,1,3,9.23,dI.le,4,e,2,5,7.7
smell,dell,1,0,1,smEl,4,E,1,5,9.06,dEl,3,E,1,4,9.3
huge,deluge,1,0,1,hjudZ,4,u,1,4,6.96,dE.ljudZ,6,E.,2,6,7.1
flux,deluxe,1,0,1,flVks,5,?,1,4,6.18,d@.lVks,6,?,2,6,6.1
solve,delve,1,0,0,sAlv,4,A,1,5,7.52,dElv,4,E,1,5,3.6
twelve,delve,15,0,1,twElv,5,E,1,6,?,dElv,4,E,1,5,3.6
valve,delve,1,0,0,valv,4,a,1,5,6.15,dElv,4,E,1,5,3.6
grand,demand,1,0,1,grand,5,a,1,5,7.8,dI.mand,6,a,2,6,4.9
hand,demand,1,0,1,hand,4,a,1,4,9.2,dI.mand,6,a,2,6,4.9
stand,demand,1,0,1,stand,5,a,1,5,4.25,dI.mand,6,a,2,6,4.9
guise,demise,2,0,1,gaIz,3,aI,1,5,6.66,dI.maIz,5,aI,2,6,3.5
rise,demise,3,0,1,raIz,3,aI,1,4,7.4,dI.maIz,5,aI,2,6,3.5
size,demise,2,0,1,saIz,3,aI,1,4,9.36,dI.maIz,5,aI,2,6,3.5
wise,demise,1,0,1,waIz,3,aI,1,4,8.37,dI.maIz,5,aI,2,6,3.5
blur,demure,1,0,1,bl3`,3,3,1,4,8.34,dI.mjUr,6,U,2,6,2.2
pure,demure,2,0,1,pjUr,4,U,1,4,6.45,dI.mjUr,6,U,2,6,2.2
dense,den,3,0,0,dEns,4,E,1,5,7.13,dEn,3,E,1,3,8.8
hen,den,8,0,1,hEn,3,E,1,3,8.2,dEn,3,E,1,3,8.8
pen,den,3,0,1,pEn,3,E,1,3,8.62,dEn,3,E,1,3,8.8
ten,den,2,0,1,tEn,3,E,1,3,8.51,dEn,3,E,1,3,8.8
when,den,3,0,1,hwEn,4,E,1,4,6.8,dEn,3,E,1,3,8.8
tile,denial,1,0,1,taIl,3,aI,1,4,8.14,dI.naI@l,6,aI@,2,6,5.4
code,denote,1,0,0,kod,3,o,1,4,7.59,dI.not,5,o,2,6,5.7
bounce,denounce,1,0,1,baUns,4,aU,1,6,6.45,dI.naUns,6,aU,2,8,6.7
ounce,denounce,2,0,1,aUns,3,aU,1,5,5.23,dI.naUns,6,aU,2,8,6.7
pounce,denounce,1,0,1,paUns,4,aU,1,6,8.35,dI.naUns,6,aU,2,8,6.7
lens,dens,2,0,1,lEnz,4,E,1,4,6.29,dEnz,4,E,1,4,6
dance,dense,1,0,0,dans,4,a,1,5,7.02,dEns,4,E,1,5,7.1
fence,dense,4,0,1,fEns,4,E,1,5,8.03,dEns,4,E,1,5,7.1
quench,dense,1,0,0,kwEntS,5,E,1,6,1.95,dEns,4,E,1,5,7.1
sense,dense,7,0,1,sEns,4,E,1,5,6.05,dEns,4,E,1,5,7.1
tense,dense,6,0,1,tEns,4,E,1,5,7.03,dEns,4,E,1,5,7.1
bent,dent,2,0,1,bEnt,4,E,1,4,8.49,dEnt,4,E,1,4,8.3
dance,dent,1,0,0,dans,4,a,1,5,7.02,dEnt,4,E,1,4,8.3
rent,dent,4,0,1,rEnt,4,E,1,4,7.47,dEnt,4,E,1,4,8.3
sent,dent,2,0,1,sEnt,4,E,1,4,8.12,dEnt,4,E,1,4,8.3
dent,dental,1,0,0,dEnt,4,E,1,4,8.33,dEn.4l=,5,E,2,6,9
depth,department,1,0,0,dEpT,4,E,1,5,11.26,dI.pArt.m@nt,10,A,3,10,3.4
sport,deport,1,0,1,spOrt,5,O,1,5,7.86,dI.pOrt,6,O,2,6,9.4
breadth,depth,1,0,0,brEtT,5,E,1,7,?,dEpT,4,E,1,5,11.3
death,depth,1,0,0,dET,3,E,1,5,8.66,dEpT,4,E,1,5,11.3
debt,depth,1,0,0,dEt,3,E,1,4,7.01,dEpT,4,E,1,5,11.3
deep,depth,3,0,0,dip,3,i,1,4,7.7,dEpT,4,E,1,5,11.3
change,derange,1,0,1,tSendZ,4,e,1,6,10.85,dI.rendZ,6,e,2,7,?
strange,derange,2,0,0,strendZ,6,e,1,7,?,dI.rendZ,6,e,2,7,?
range,deranged,1,0,0,rendZ,4,e,1,5,4,dI.rendZd,7,e,2,8,0
drive,derive,1,0,1,draIv,4,aI,1,5,8.81,dI.raIv,5,aI,2,6,5.1
desk,desert,1,0,0,dEsk,4,E,1,4,9.51,dE.z@`t,5,E.,2,6,?
sign,design,1,0,1,saIn,3,aI,1,4,9.05,dI.zaIn,5,aI,2,6,7.4
dusk,desk,2,0,0,dVsk,4,?,1,4,7.09,dEsk,4,E,1,4,9.5
desk,desks,2,1,0,dEsk,4,E,1,4,9.51,dEsks,5,E,1,5,9.6
rise,despise,1,0,1,raIz,3,aI,1,4,7.4,dI.spaIz,6,aI,2,7,10.2
sprite,despite,1,0,1,spraIt,5,aI,1,6,2.77,dI.spaIt,6,aI,2,7,6.4
patch,detach,1,0,0,patS,3,a,1,5,7.31,dI.tatS,5,a,2,6,?
lest,detest,1,0,1,lEst,4,E,1,4,9.5,dI.tEst,6,E,2,6,9.1
death,detour,1,0,0,dET,3,E,1,5,8.66,di.tUr,5,i.,2,6,5.9
moose,deuce,1,0,1,mus,3,u,1,5,8,dus,3,u,1,5,3.6
vice,device,1,0,1,vaIs,3,aI,1,4,7.99,dI.vaIs,5,aI,2,6,7
hour,devour,1,0,1,aUr,2,aU,1,4,7.61,dI.vaUr,5,aU,2,6,6.3
sour,devour,3,0,1,saUr,3,aU,1,4,8.34,dI.vaUr,5,aU,2,6,6.3
chew,dew,4,0,1,tSu,2,u,1,4,6.23,du,2,u,1,3,8.4
clue,dew,1,0,1,klu,3,u,1,4,8.97,du,2,u,1,3,8.4
crew,dew,2,0,1,kru,3,u,1,4,7.77,du,2,u,1,3,8.4
due,dew,1,0,1,du,2,u,1,3,8.32,du,2,u,1,3,8.4
ewe,dew,2,0,1,ju,2,u,1,3,8.41,du,2,u,1,3,8.4
few,dew,3,0,1,fju,3,u,1,3,7.63,du,2,u,1,3,8.4
hue,dew,2,0,1,hju,3,u,1,3,8.02,du,2,u,1,3,8.4
screw,dew,1,0,1,skru,4,?,1,5,3.95,du,2,u,1,3,8.4
shoe,dew,1,0,1,Su,2,u,1,4,7.15,du,2,u,1,3,8.4
sue,dew,1,0,1,su,2,u,1,3,9.05,du,2,u,1,3,8.4
through,dew,1,0,1,Tru,3,u,1,7,?,du,2,u,1,3,8.4
view,dew,2,0,1,vju,3,u,1,4,5.07,du,2,u,1,3,8.4
text,dexterity,1,0,0,tEkst,5,E,1,4,9.34,dEk.stE.r@.4i,10,E.,4,9,?
file,dial,1,0,1,faIl,3,aI,1,4,8.12,daI@l,4,aI@,1,4,8.1
style,dial,1,0,1,staIl,4,aI,1,5,6.1,daI@l,4,aI@,1,4,8.1
tribe,diatribe,1,0,1,traIb,4,aI,1,5,5.77,daI@.traIb,7,aI@.,2,8,?
ice,dice,9,0,1,aIs,2,aI,1,3,7.45,daIs,3,aI,1,4,7.7
lice,dice,9,0,1,laIs,3,aI,1,4,9.68,daIs,3,aI,1,4,7.7
mice,dice,11,0,1,maIs,3,aI,1,4,8.57,daIs,3,aI,1,4,7.7
nice,dice,7,0,1,naIs,3,aI,1,4,8.1,daIs,3,aI,1,4,7.7
price,dice,5,0,1,praIs,4,aI,1,5,7.79,daIs,3,aI,1,4,7.7
rice,dice,3,0,1,raIs,3,aI,1,4,8.29,daIs,3,aI,1,4,7.7
slice,dice,12,0,1,slaIs,4,aI,1,5,8.34,daIs,3,aI,1,4,7.7
spice,dice,4,0,1,spaIs,4,aI,1,5,8.18,daIs,3,aI,1,4,7.7
twice,dice,2,0,1,twaIs,4,aI,1,5,3.36,daIs,3,aI,1,4,7.7
vice,dice,4,0,1,vaIs,3,aI,1,4,7.99,daIs,3,aI,1,4,7.7
dad,did,1,0,0,dad,3,a,1,3,8.93,dId,3,I,1,3,8.3
kid,did,1,0,1,kId,3,I,1,3,8.29,dId,3,I,1,3,8.3
lid,did,1,0,1,lId,3,I,1,3,8.84,dId,3,I,1,3,8.3
buy,die,1,0,1,baI,2,a,1,3,9.73,daI,2,a,1,3,8.4
cry,die,1,0,1,kraI,3,?,1,3,7.87,daI,2,a,1,3,8.4
death,die,1,1,0,dET,3,E,1,5,8.66,daI,2,a,1,3,8.4
dice,die,2,0,0,daIs,3,aI,1,4,7.72,daI,2,a,1,3,8.4
drown,die,1,1,0,draUn,4,aU,1,5,9.02,daI,2,a,1,3,8.4
dye,die,13,0,1,daI,2,aI,1,3,8.44,daI,2,a,1,3,8.4
fly,die,1,0,0,flaI,3,aI,1,3,6.9,daI,2,a,1,3,8.4
fry,die,4,0,1,fraI,3,aI,1,3,7.82,daI,2,a,1,3,8.4
lie,die,4,0,1,laI,2,aI,1,3,8.18,daI,2,a,1,3,8.4
pie,die,6,0,1,paI,2,aI,1,3,7.92,daI,2,a,1,3,8.4
rye,die,3,0,1,raI,2,aI,1,3,6.88,daI,2,a,1,3,8.4
shy,die,1,0,1,SaI,2,aI,1,3,8.78,daI,2,a,1,3,8.4
sky,die,1,0,1,skaI,3,aI,1,3,8.55,daI,2,a,1,3,8.4
spy,die,1,0,1,spaI,3,aI,1,3,8.38,daI,2,a,1,3,8.4
sty,die,1,0,1,staI,3,aI,1,3,9.1,daI,2,a,1,3,8.4
tie,die,3,0,1,taI,2,aI,1,3,8.69,daI,2,a,1,3,8.4
try,die,2,0,1,traI,3,aI,1,3,8.07,daI,2,a,1,3,8.4
why,die,1,0,0,hwaI,3,aI,1,3,9.89,daI,2,a,1,3,8.4
wine,die,1,0,0,waIn,3,aI,1,4,8.51,daI,2,a,1,3,8.4
die,died,1,0,0,daI,2,aI,1,3,8.36,daId,3,aI,1,4,6.5
guide,died,1,0,1,gaId,3,aI,1,5,6.78,daId,3,aI,1,4,6.5
ride,died,1,0,1,raId,3,aI,1,4,7.51,daId,3,aI,1,4,6.5
slide,died,1,0,1,slaId,4,aI,1,5,6.62,daId,3,aI,1,4,6.5
wide,died,3,0,1,waId,3,aI,1,4,8.17,daId,3,aI,1,4,6.5
guise,dies,1,0,1,gaIz,3,aI,1,5,6.66,daIz,3,aI,1,4,6.67
die,diet,1,0,0,daI,2,aI,1,3,8.36,daI@t,4,aI@,1,4,7.5
big,dig,5,0,1,bIg,3,I,1,3,8.5,dIg,3,I,1,3,8.3
dog,dig,2,0,0,dOg,3,O,1,3,8.09,dIg,3,I,1,3,8.3
fig,dig,4,0,1,fIg,3,I,1,3,7.74,dIg,3,I,1,3,8.3
gig,dig,3,0,1,gIg,3,I,1,3,7.61,dIg,3,I,1,3,8.3
pig,dig,10,0,1,pIg,3,I,1,3,7.86,dIg,3,I,1,3,8.3
dig,digger,1,1,0,dIg,3,I,1,3,8.35,dIg.@`,4,I,2,6,5.5
press,digress,1,0,1,prEs,4,E,1,5,6.35,daI.grEs,6,E,2,7,5.5
bike,dike,2,0,1,baIk,3,aI,1,4,7.48,daIk,3,aI,1,4,8.4
hike,dike,1,0,1,haIk,3,aI,1,4,7.99,daIk,3,aI,1,4,8.4
like,dike,1,0,1,laIk,3,aI,1,4,8.3,daIk,3,aI,1,4,8.4
pike,dike,3,0,1,paIk,3,aI,1,4,7.9,daIk,3,aI,1,4,8.4
spike,dike,2,0,1,spaIk,4,aI,1,5,7.55,daIk,3,aI,1,4,8.4
chill,dill,3,0,1,tSIl,3,I,1,5,8.11,dIl,3,I,1,4,9.1
dull,dill,1,0,0,dVl,3,?,1,4,8,dIl,3,I,1,4,9.1
frill,dill,4,0,1,frIl,4,I,1,5,6.84,dIl,3,I,1,4,9.1
grill,dill,1,0,1,grIl,4,I,1,5,6.11,dIl,3,I,1,4,9.1
hill,dill,2,0,1,hIl,3,I,1,4,8.69,dIl,3,I,1,4,9.1
ill,dill,1,0,1,Il,2,I,1,3,9.36,dIl,3,I,1,4,9.1
kill,dill,1,0,1,kIl,3,I,1,4,8.09,dIl,3,I,1,4,9.1
mill,dill,3,0,1,mIl,3,I,1,4,8.49,dIl,3,I,1,4,9.1
pill,dill,1,0,1,pIl,3,I,1,4,8.54,dIl,3,I,1,4,9.1
quill,dill,2,0,1,kwIl,4,I,1,5,6.5,dIl,3,I,1,4,9.1
spill,dill,2,0,1,spIl,4,I,1,5,7.9,dIl,3,I,1,4,9.1
will,dill,3,0,1,wIl,3,I,1,4,8.54,dIl,3,I,1,4,9.1
flute,dilute,1,0,1,flut,4,u,1,5,5.7,daI.lut,5,u,2,6,4.7
climb,dim,1,0,0,klaIm,4,aI,1,5,4.06,dIm,3,I,1,3,9.1
dime,dim,1,0,0,daIm,3,aI,1,4,8.01,dIm,3,I,1,3,9.1
dip,dim,1,0,0,dIp,3,I,1,3,8.19,dIm,3,I,1,3,9.1
dorm,dim,1,0,0,dOrm,4,O,1,4,7.36,dIm,3,I,1,3,9.1
dumb,dim,1,0,0,dVm,3,?,1,4,8.18,dIm,3,I,1,3,9.1
film,dim,1,0,0,fIlm,4,I,1,4,11.09,dIm,3,I,1,3,9.1
gym,dim,2,0,1,dZIm,3,I,1,3,5.52,dIm,3,I,1,3,9.1
him,dim,5,0,1,hIm,3,I,1,3,8.37,dIm,3,I,1,3,9.1
hymn,dim,5,0,0,hIm,3,I,1,4,?,dIm,3,I,1,3,9.1
